Comuna;Dirección;Tipo de sucursal;Horario
Angol;Lautaro N° 47;Centro de Atención de Clientes;Lunes a Viernes de 08:30 a 14:00	a 15:00 a 17:30 
Cajon;Avenida Urrutia Nº825;Centro de Atención de Clientes;Miercoles de 14:00 a 17:00 hrs y Viernes de 15:00 a 18:00 hrs
Capitan Pastene;Pedro Montt N° 586;Centro de Atención de Clientes;Miércoles y Jueves 09:00 a 12:00 horas
Carahue;Diego Portales Nº330;Centro de Atención de Clientes;Lunes a Viernes de 09:00 a 13:00
Cherquenco;Japón S/Nº;Centro de Atención de Clientes;Martes y Jueves de 10:00 a 13:00 hrs
Chol-Chol;Chamil S/Nº;Centro de Atención de Clientes;Martes y Jueves de 15:00 a 18:00 horas
Collipulli;Bulnes Nº125;Centro de Atención de Clientes;Lunes a Viernes de 9:00 a 13:00  y 14:00 a 16:00 
Cunco;Orompello Nº837;Centro de Atención de Clientes;Lunes a Viernes de 12:00 a 13:45 horas
Curacautin;Yungay Nº285;Centro de Atención de Clientes;Lunes a Viernes 9:00 a 13:00  y 14:00 a 16:00
Ercilla;Ongolmo N° 145;Centro de Atención de Clientes;Lunes y Jueves de 09:00 a 12:00 hrs
Freire;Errázuriz Nº515;Centro de Atención de Clientes;Martes y Jueves de 10:00 a 13:00 hrs
Galvarino;Freire Nº690;Centro de Atención de Clientes;Lunes y Jueves de 09:00 a 12:00 hrs 
Gorbea;Camilo Henriquez N°565 - A;Centro de Atención de Clientes;Lunes a Viernes de 15:00 a 16:30 hrs
Lastarria;Pidenco Nº155;Centro de Atención de Clientes;Lunes y Miércoles 10:00 a 13:00 hrs
Lautaro;Matta Nº831;Centro de Atención de Clientes;Lunes a Viernes de 09:00 a 13:00 y 14:00 a 16:00
Lican-Ray;Gabriela Mistral Nº605;Centro de Atención de Clientes;Martes y Jueves de 09:30  a 12:30
Loncoche;Bilbao Nº98;Centro de Atención de Clientes;Lunes a Viernes de 09:00 a 13:00 y 14:30 a 16:30
Lonquimay;Colon N°950;Centro de Atención de Clientes;Lunes a Viernes	12:00 a 13:15 
Los Sauces;Aníbal Pinto Nº461;Centro de Atención de Clientes;Martes y Viernes de 09:00 a 12:00 horas.
Lumaco;Carlos Condell Nº90;Centro de Atención de Clientes;Martes y Viernes 9:00 a 12:00 horas
Mininco;21 de mayo S/Nº;Centro de Atención de Clientes;Lunes y Jueves de 9:00 a 12:00 hrs. 
Nueva Imperial;Riquelme Nº266;Centro de Atención de Clientes;Lunes a Viernes de 09:00 a 13:00  y 15:00 a 17:00 hrs 
Nueva Tolten;22 de mayo Nº545;Centro de Atención de Clientes;Lunes y Miércoles de 10:00 a 12:00 hrs  
Padre Las Casas;Maquehue Nº850, local 7;Centro de Atención de Clientes;Lunes a Viernes de 09:00 a 13:00 horas y 15:00 a 17:00 hrs
Pitrufquen;Vicuña Mackenna Nº941;Centro de Atención de Clientes;Lunes a Viernes de 09:00 a 13:00 y 14:00 a 16:00
Pucon;General Urrutia Nº148;Centro de Atención de Clientes;Lunes a Viernes de 09:00 a 13:00 y 14:00 a 16:00 hrs 
Puerto Saavedra;Ejército Nº1039-A;Centro de Atención de Clientes;Miercoles y Viernes de 15:00 a 18:00 hrs
Puren;Gamboa Nº430;Centro de Atención de Clientes;Martes y Viernes de 14:30 a 17:30 horas.
Quitratue;Ex ruta 5 S/Nº;Centro de Atención de Clientes;Viernes de 10:00 a 13:00 hrs
Renaico;Cementerio Nº196;Centro de Atención de Clientes; Lunes y Jueves de 14:30 a 17:30 hrs 
Temuco;Manuel Bulnes Nº762;Centro de Atención de Clientes;Lunes a Viernes de 09:00 a 17:00 horas
Traiguen;General Lagos Nº901;Centro de Atención de Clientes;Lunes a Viernes de 09:00 a 13:00 y 14:00 a 16:00 hrs
Victoria;Lagos Nº680;Centro de Atención de Clientes;Lunes a Viernes de 09:00 a 13:00 y 14:00 a 16:00 hrs  
Vilcun;Rupanco S/N;Centro de Atención de Clientes;Lunes y Miércoles de 10:00 a 13:00 hrs
Villarrica;Pedro Montt # 310;Centro de Atención de Clientes;Lunes a Viernes de 09:00 a 13:00 y 14:00 a 16:00 hrs 
